BLACKOUT ASSET REGISTRY;;;;;;;;;;;;;
;;;;;;;;;;;;;
Asset ID;Asset name;Asset type;Creator;Source;URL;License;Price;Date acquired;Acquisition method;Engine Version;Evidence;Modified;Notes
TP-0001;Flashlight;Static mesh;Slav3106;Fab;https://fab.com/s/cf1650818637;Fab Standard License (Licenses/Fab.pdf);Free;2026-02-12;Added directly from UE 5 fab plugin;5.8;;No;Date of acquisition is estimated based on addition commit (31acbfbf)
TP-0002;Battery;Static mesh;ThunderPWN;Fab;https://fab.com/s/cc3b4087041e;Creative Common Attribution (CC BY 4.0 – Licenses/CC4.pdf);Free;2026-02-19;Added directly from UE 5 fab plugin;5.8;;Yes;'Date of acquisition is estimated based on addition commit (d42a195b); All objects removed from original fbx but the one actually used in the project'
TP-0003;Lazy Dev Abandoned Tunnel;Content pack (static meshes);Breakbound dev;Fab;https://fab.com/s/7b469fce462f;Fab Standard License (Licenses/Fab.pdf);Free;2026-05-29;Added directly from UE 5 fab plugin;5.8;;Yes;'Date of acquisition is estimated based on addition commit (fa43e8b1); Arch and Wall meshes had their origin adjusted; Wall mesh was resized'
TP-0004;Lever;Static mesh;MelGibzon;Fab;https://fab.com/s/75397d4851d0;Creative Common Attribution (CC BY 4.0 – Licenses/CC4.pdf);Free;2026-06-08;Added directly from UE 5 fab plugin;5.8;;Yes;'Date of acquisition is estimated based on addition commit (9ec4bb36); Handle stands removed'
TP-0005;Maze light;Static mesh;Mohit Akundi;Fab;https://fab.com/s/2ef2c717b36a;Creative Common Attribution (CC BY 4.0 – Licenses/CC4.pdf);Free;2026-06-08;Added directly from UE 5 fab plugin;5.8;;Yes;'Date of acquisition is estimated based on addition commit (9ec4bb36); All objects removed from original fbx but the one actually used in the project'
TP-0006;Fire drum;Static mesh;Quixel Megascans;Fab;https://fab.com/s/c68116d204a8 https://fab.com/s/c7859152ef31;Fab Standard License (Licenses/Fab.pdf);Free;2026-07-14;Added directly from UE 5 fab plugin;5.8;;No;'Date of acquisition is estimated based on addition commit (da70e717); For some reason there are two urls where this asset can be found. Aside for technical details, it’s not really possible to determine which one is being used in the project as of today. Therefore, both links are being provided'
TP-0007;Burnt Material;Material;Quixel Megascans;Fab;https://fab.com/s/59bcbbec347a;Fab Standard License (Licenses/Fab.pdf);Free;2026-07-14;Added directly from UE 5 fab plugin;5.8;;No;Date of acquisition is estimated based on addition commit (da70e717)
TP-0008;Fire effect;Material/sound wave;Epic Games;Unreal Engine;Engine content;Unreal Engine EULA (Licenses/UnrealEngineEULA.pdf);Free;2026-07-22;Added to project through engine’s “Add feature or content pack” option;5.6;;No;Date of acquisition is estimated based on addition commit (47ca336a)
TP-0009;Glow stick snap SFX;Sound wave;jiaying330 ;Freesound;https://freesound.org/s/678498/;Creative Common Attribution (CC BY 4.0 – Licenses/CC4.pdf);Free;2026-08-05;Original wav file dowloaded from Freesound;N/A;;No;Origin of previous sfx not found. Using this effect instead
TP-0010;Flashlight click SFX;Sound wave;quetum;Freesound;https://freesound.org/s/770346/;Creative Common 0 (Licences/CC0.pdf);Free;2026-08-05;Original wav file dowloaded from Freesound;N/A;;No;
TP-0011;Electric spark SFX;Sound wave;LittleRobotSoundFactory;Freesound;https://freesound.org/s/274200/;Creative Common Attribution (CC BY 4.0 – Licenses/CC4.pdf);Free;2026-08-03;Original wav file dowloaded from Freesound;N/A;;No;
TP-0012;“The Labyrinth” ambient sound;Sound wave;Sonus Novun;Fab;https://fab.com/s/5564160d337f;Fab Standard License (Licenses/Fab.pdf);Free;2026-07-22;Added directly from UE 5 fab plugin;5.8;;No;Date of acquisition is estimated based on addition commit (47ca336a)
TP-0013;“Trailer Solaric” ambient sound;Sound wave;MarikaSchanz;Fab;https://fab.com/s/c039e3862941;Fab Standard License (Licenses/Fab.pdf);Free;2026-07-23;Added directly from UE 5 fab plugin;5.8;;No;Date of acquisition is estimated based on addition commit (eec93dcd)
TP-0014;Essential icons;Content pack (sprites);Mypixel studios;Fab;https://fab.com/s/1bc4ef4e6dab;Fab Standard License (Licenses/Fab.pdf);Free;2026-07-24;Added directly from UE 5 fab plugin;5.8;;No;Date of acquisition is estimated based on addition commit (c3df3c7b)
